Slang,Definition,Example Sentence
he cooked,in serious trouble,I can not believe how he cooked that turned out.
so throwing,extremely deliberately losing or making mistakes,Why is everyone so throwing lately?
down bad,desperate,That whole situation was pure down bad.
caught in 4k,caught in 4k,Everyone on Discord went full caught in 4k when that happened.
so fire,extremely amazing or excellent,That fit is so fire.
so big yikes,extremely big yikes,I went into full big yikes mode and had no regrets.
tryhard af,extremely someone who tries too much,Why is everyone so tryhard af lately?
so delusional arc,extremely going through an unrealistic phase,Everything about this moment is delusional arc.
so slay,extremely do something excellently,Did you catch how slay that was?
overthinking af,extremely overthinking,My friend group chat was giving overthinking af energy all day.
pressed af,extremely bothered or upset,He was being totally pressed af at the party.
bare minimum,bare minimum,That is giving bare minimum energy.
vibe af,extremely atmosphere or feeling,He is vibe af.
daily scene,a situation or setting,Everyone on Discord went full daily scene when that happened.
villain era,a personal phase or period,That person has villain era today.
fam,close friend group,She posted that and the energy was fam.
so down bad,extremely desperately attracted to someone,Not me acting all down bad at the worst time.
pressed,Angry or annoyed.,"""He's so pressed about the situation."""
simp,Someone who does too much for someone they like.,"""He's such a simp for her."""
high effort,high effort,He was being totally high effort at the party.
no thoughts,no thoughts,That is giving no thoughts energy.
so era,extremely a personal phase or period,That fit is so era.
so fam,extremely close friend group,"That fit was actually fam, no cap."
glow up,A significant improvement in appearance or style.,"""She had a major glow-up over the summer."""
imo,in my opinion,His reaction was so imo I could not stop laughing.
snatched,looking extremely good or slim,I can not believe how snatched that turned out.
bro af,extremely friend or dude,He was being totally bro af at the party.
so ate,extremely ate,His reaction was so ate I could not stop laughing.
bussin af,extremely extremely good,He is bussin af.
af,as f***,His reaction was so af I could not stop laughing.
down bad af,extremely desperately attracted to someone,He is down bad af.
so clutch,extremely performing perfectly under pressure,"Bro, you are literally giving clutch right now."
side eye,side eye,That comeback was so side eye honestly.
tryhard,over trying,She has such tryhard energy today.
daily play,a strategic move,That person has daily play today.
so hot take,extremely hot take,How do people stay this hot take all the time?
drip af,extremely stylish outfit or fashion sense,He is drip af.
so sigma,extremely independent self-made person,That fit is so sigma.
goofy,silly or weird,"Bro, you are literally giving goofy right now."
so main slayer,extremely main slayer,The vibe in that room was literally main slayer.
cringe af,extremely embarrassing,"Wait, was that not completely cringe af?"
so vibe,extremely atmosphere or feeling,That fit is so vibe.
touch grass,touch grass,That is giving touch grass energy.
pick me af,extremely pick me,He is pick me af.
bruh,"A casual term for ""bro"" or ""dude.""","""Come on, bruh, let's go."""
L af,extremely l,That comeback was so L af honestly.
it's giving,it's giving,The way she handled that was it's giving.
ate af,extremely ate,I went into full ate af mode and had no regrets.
brainrot,brainrot,She posted that and the energy was brainrot.
throwing,losing intentionally,She has such throwing energy today.
bussin,extremely good,"Wait, was that not completely bussin?"
main vibe af,extremely main vibe,I went into full main vibe af mode and had no regrets.
cap af,extremely a lie,What he's saying is cap.
npc,someone acting without personality,Is it just me or is this giving npc energy?
so bruh,extremely expression of disbelief,That fit is so bruh.
no cap,No lie; truth.,"""That's the best movie, no cap."""
so gyatt,extremely gyatt,She posted that and the energy was gyatt.
head empty af,extremely thinking about nothing,That drop had everyone acting head empty af.
ultra phase,a period of time or mood,The way she handled that was ultra phase.
so delulu,extremely being delusional,I am feeling really delulu right now.
nah,no,The whole comment section was nah about this.
gyatt af,extremely gyatt,She posted that and the energy was gyatt af.
extra af,extremely extra,He is extra af.
slay af,extremely do something excellently,How do people stay this slay af all the time?
so nah,extremely no,I can not believe how nah that turned out.
main character,Acting like the main character in life.,"""She's totally giving main character vibes."""
so say less,"extremely I understand, no need to explain",Everyone on Discord went full say less when that happened.
so bet,extremely okay or agreement,I went into full bet mode and had no regrets.
idk,i don't know,That drop had everyone acting idk.
ate,ate,How do people stay this ate all the time?
fire af,extremely amazing or excellent,His reaction was so fire af I could not stop laughing.
overthinking,overthinking,That is giving overthinking energy.
it's giving af,extremely it has the vibe or energy of something,"Wait, was that not completely it's giving af?"
lowkey take,somewhat secretly,He was being totally lowkey take at the party.
sigma,independent self-made person,"That fit was actually sigma, no cap."
deadass,Seriously; genuinely.,"""I'm deadass not joking."""
main character af,extremely acting like the center of everything,The vibe in that room was literally main character af.
low effort af,extremely not trying,My friend group chat was giving low effort af energy all day.
lowkey energy,somewhat secretly,He went full lowkey energy mode during the match.
main talk,conversation or topic,That comeback was so main talk honestly.
random game,situation or context,Why is everyone so random game lately?
fam af,extremely close friend group,How do people stay this fam af all the time?
hella,very,"You cooked so hard, that was peak hella."
extra,"Over the top, excessive.","""She's so extra with her outfits."""
so valid,extremely acceptable and understandable,That drop had everyone acting valid.
real type,personality type,He was being totally real type at the party.
snatched af,extremely looking extremely good or slim,The way she handled that was snatched af.
understood assignment af,extremely knew exactly what to do,He is understood assignment af.
aura farming,a mysterious personal energy,"Wait, was that not completely aura farming?"
big move,an action or strategy,That person has big move today.
so goated,extremely being the greatest,Did you catch how goated that was?
gyatt,gyatt,How do people stay this gyatt all the time?
bet af,extremely okay or agreement,"That fit was actually bet af, no cap."
so cringe,extremely embarrassing,How do people stay this cringe all the time?
fanum tax,fanum tax,I can not believe how fanum tax that turned out.
period af,extremely end of discussion,He is period af.
so shade,extremely disrespect or indirect insult,They were being so shade about this whole thing.
alpha af,extremely alpha,How do people stay this alpha af all the time?
send me af,extremely that made me laugh hard,He is send me af.
ong,"on God, I swear",They were being so ong about this whole thing.
so period,extremely end of discussion,"That fit was actually period, no cap."
bare minimum af,extremely bare minimum,He is bare minimum af.
random aura,a mysterious personal energy,How do people stay this random aura all the time?
caught lacking,caught lacking,"You cooked so hard, that was peak caught lacking."
sis,sister or close female friend,I am feeling really sis right now.
salty af,extremely bitter or upset,Everything about this moment is salty af.
ick af,extremely ick,The vibe in that room was literally ick af.
real era,a personal phase or period,That person has real era today.
W af,extremely w,He is W af.
head empty,head empty,That is giving head empty energy.
so based,extremely confident and unapologetic,She posted that and the energy was based.
L,Loss or failure.,"""We took the L on that one."""
based,confident and unapologetic,That person has based today.
soft launch,soft launch,The vibe in that room was literally soft launch.
touch grass af,extremely go outside and get off the internet,The way she handled that was touch grass af.
let him cook,do something well,The whole comment section was let him cook about this.
so drip,extremely stylish outfit or fashion sense,Everyone on Discord went full drip when that happened.
nah fr,seriously,How do people stay this nah fr all the time?
so tryhard,extremely someone who tries too much,They were being so tryhard about this whole thing.
send me,send me,She has such send me energy today.
delulu,being delusional,This video is giving serious delulu vibes.
beta af,extremely beta,She has such beta af energy today.
so npc,extremely someone acting without personality,"Bro, you are literally giving npc right now."
ahh,expression filler,My friend group chat was giving ahh energy all day.
overcooked,overcooked,That is giving overcooked energy.
ghosted,stopped responding completely,Why is everyone so ghosted lately?
high effort af,extremely high effort,"Wait, was that not completely high effort af?"
era af,extremely a personal phase or period,He is era af.
so hard launch,extremely publicly announcing a relationship,That fit is so hard launch.
lit af,extremely exciting or amazing,He is lit af.
big yikes af,extremely big yikes,He went full big yikes af mode during the match.
mega fit,mega fit,I can not believe how mega fit that turned out.
stan,Obsessive fan.,"""I'm a stan for that band."""
so ick,extremely ick,The whole comment section was ick about this.
valid af,extremely acceptable and understandable,He is valid af.
throwing af,extremely deliberately losing or making mistakes,He is throwing af.
sigma af,extremely independent self-made person,His reaction was so sigma af I could not stop laughing.
ratio,getting more replies than likes,She posted that and the energy was ratio.
main vibe,atmosphere or feeling,The internet blew up because that was straight main vibe.
so sis,extremely sister or close female friend,Not me acting all sis at the worst time.
they cooked,in serious trouble,Everything about this moment is they cooked.
so ong,"extremely on God, I swear",That comeback was so ong honestly.
so understood assignment,extremely knew exactly what to do,The vibe in that room was literally understood assignment.
so let him cook,extremely let him cook,Is it just me or is this giving let him cook energy?
super style,super style,She posted that and the energy was super style.
based take,confident and unapologetic,The way she handled that was based take.
npc af,extremely someone acting without personality,"Wait, was that not completely npc af?"
invalid,not acceptable,My friend group chat was giving invalid energy all day.
tea,Gossip or the latest news.,"""Spill the tea, what happened?"""
main slayer,main slayer,That is giving main slayer energy.
caught lacking af,extremely caught lacking,He was being totally caught lacking af at the party.
so pick me,extremely pick me,The whole comment section was pick me about this.
highkey look,openly and obviously,They were being so highkey look about this whole thing.
so on repeat,extremely on repeat,"Bro, you are literally giving on repeat right now."
so high effort,extremely high effort,"That fit was actually high effort, no cap."
cringe,Embarrassing or awkward.,"""That video was cringe."""
so mid,extremely average or mediocre,That fit is so mid.
so it's giving,extremely it has the vibe or energy of something,I am feeling really it's giving right now.
nah af,extremely no,My friend group chat was giving nah af energy all day.
so in my bag,extremely in my bag,Did you catch how in my bag that was?
wtf,what the hell,"You cooked so hard, that was peak wtf."
tea af,extremely gossip,Did you catch how tea af that was?
so extra,extremely extra,"That fit was actually extra, no cap."
out of pocket,out of pocket,That is giving out of pocket energy.
so out of pocket,extremely out of pocket,That comeback was so out of pocket honestly.
tbh,to be honest,Is it just me or is this giving tbh energy?
corny,cringey,Is it just me or is this giving corny energy?
aura farming af,extremely intentionally building a mysterious presence,The whole comment section was aura farming af about this.
so overthinking,extremely overthinking,The vibe in that room was literally overthinking.
dead,Used to describe something very funny.,"""I'm dead, that was hilarious."""
lit,"Exciting, fun, or excellent.","""That party was lit."""
so low effort,extremely not trying,That fit is so low effort.
so ghosted,extremely stopped responding completely,I can not believe how ghosted that turned out.
goated,being the greatest,I can not believe how goated that turned out.
fire,Really good or excellent.,"""That song is fire."""
glow up af,extremely a major positive transformation,Did you catch how glow up af that was?
so main vibe,extremely main vibe,I have been on my main vibe behavior lately.
so they cooked,extremely they cooked,That fit is so they cooked.
so tea,extremely gossip,That fit is so tea.
alpha,alpha,He went full alpha mode during the match.
so rizz,extremely charisma or flirting skill,That fit is so rizz.
so highkey,extremely openly and obviously,He went full highkey mode during the match.
understood assignment,"got it, clear","Bro, you are literally giving understood assignment right now."
clutch af,extremely performing perfectly under pressure,Is it just me or is this giving clutch af energy?
delusional arc,delusional arc,He was being totally delusional arc at the party.
meatriding,excessive support,He meatriding that celebrity for clout.
so snatched,extremely looking extremely good or slim,I went into full snatched mode and had no regrets.
overcooked af,extremely overcooked,My friend group chat was giving overcooked af energy all day.
so lit,extremely exciting or amazing,That fit is so lit.
highkey,openly and obviously,That person has highkey today.
irl,in real life,The whole comment section was irl about this.
so main character,extremely acting like the center of everything,Did you catch how main character that was?
so yikes,extremely yikes,Did you catch how yikes that was?
in my bag af,extremely in my bag,He is in my bag af.
rizz af,extremely charisma or flirting skill,Is it just me or is this giving rizz af energy?
main moment,a perfect situation,The way she handled that was main moment.
main slayer af,extremely main slayer,"Bro, you are literally giving main slayer af right now."
so fanum tax,extremely fanum tax,That fit is so fanum tax.
so bussin,extremely extremely good,They were being so bussin about this whole thing.
so side eye,extremely side eye,That fit is so side eye.
so no thoughts,"extremely not thinking, mindless",The way she handled that was no thoughts.
flex,To show off or boast.,"""He's flexing his new phone."""
rizz,charisma or flirting skill,"That fit was actually rizz, no cap."
she cooked,in serious trouble,His reaction was so she cooked I could not stop laughing.
bro,friend or dude,Everything about this moment is bro.
thirsty,Desperate for attention or affection.,"""He's so thirsty for likes."""
bruh af,extremely expression of disbelief,He is bruh af.
so flex,extremely show off,"Bro, you are literally giving flex right now."
fr af,extremely for real,"Wait, was that not completely fr af?"
yikes af,extremely yikes,He is yikes af.
stan af,extremely stan,I am feeling really stan af right now.
he cooked af,extremely he did it perfectly,I went into full he cooked af mode and had no regrets.
so alpha,extremely alpha,She has such alpha energy today.
highkey mood,openly and obviously,The internet blew up because that was straight highkey mood.
say less af,"extremely I understand, no need to explain",Everything about this moment is say less af.
side eye af,extremely side eye,She posted that and the energy was side eye af.
ong af,"extremely on God, I swear",He is ong af.
cook,do something well,This video is giving serious cook vibes.
npc energy af,extremely npc energy,He is npc energy af.
brainrot af,extremely brainrot,The whole comment section was brainrot af about this.
pick me,pick me,She has such pick me energy today.
so L,extremely l,"Wait, was that not completely L?"
on repeat af,extremely on repeat,I am feeling really on repeat af right now.
so overcooked,extremely overcooked,That fit is so overcooked.
so touch grass,extremely go outside and get off the internet,My friend group chat was giving touch grass energy all day.
no thoughts af,"extremely not thinking, mindless",He is no thoughts af.
slay,To do something exceptionally well.,"""You slayed that presentation."""
say less,understood,"Say less, I already got you."
let him cook af,extremely let him cook,That comeback was so let him cook af honestly.
so send me,extremely that made me laugh hard,They were being so send me about this whole thing.
so sus,extremely suspicious,Everything about this moment is sus.
lowkey,subtly,i'm lowkey a genius
hot take af,extremely hot take,"Bro, you are literally giving hot take af right now."
hard launch af,extremely publicly announcing a relationship,He is hard launch af.
lowkey af,extremely somewhat secretly,He is lowkey af.
based take af,extremely based take,Did you catch how based take af that was?
ghosted af,extremely stopped responding completely,He is ghosted af.
corecore,a deeply emotional internet aesthetic,Why is everyone so corecore lately?
so pressed,extremely bothered or upset,The whole comment section was pressed about this.
lock in,to enter a state of deep focus,I need to lock in for the final exams
